Index	Compounds	物质	Class II	omt.counts	CK0_1	CK0_2	CK0_3	GCP1_1	GCP1_2	GCP1_3	GCP2_1	GCP2_2	GCP2_3	GCP3_1	GCP3_2	GCP3_3	GCP4_1	GCP4_2	GCP4_3	GCP5_1	GCP5_2	GCP5_3	GCP6_1	GCP6_2	GCP6_3	GCP8_1	GCP8_2	GCP8_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3
pmp000110	7-Hydroxy-3,5,6,8-tetramethoxyflavone	7-羟基-3,5,6,8-四甲氧基黄酮	Flavonoid	4	7.60E+06	8.04E+06	7.82E+06	7.34E+06	7.16E+06	7.94E+06	9.98E+06	9.26E+06	8.14E+06	9.51E+06	9.29E+06	9.73E+06	8.18E+06	8.81E+06	8.90E+06	9.15E+06	9.66E+06	8.63E+06	9.24E+06	9.30E+06	9.19E+06	1.06E+07	1.06E+07	1.13E+07	8.37E+06	8.09E+06	8.64E+06	6.88E+06	6.98E+06	8.49E+06	1.02E+07	1.01E+07	1.03E+07	9.10E+06	8.49E+06	8.79E+06
pmp000008	5-Hydroxy-6,7,3',4'-tetramethoxyflavone	5-羟基-6,7,3',4'-四甲氧基黄酮	Flavonoid	4	1.46E+06	1.57E+06	1.51E+06	1.47E+06	1.63E+06	2.02E+06	3.90E+06	2.76E+06	2.67E+06	2.78E+06	2.87E+06	2.69E+06	2.66E+06	2.73E+06	2.72E+06	2.40E+06	2.85E+06	1.94E+06	2.01E+06	2.10E+06	1.92E+06	3.49E+06	3.11E+06	3.47E+06	1.95E+06	2.00E+06	1.89E+06	2.14E+06	2.28E+06	2.68E+06	2.85E+06	3.04E+06	2.66E+06	2.96E+06	2.68E+06	2.82E+06
Zmjp010694	5-Hydroxy-3,7,3',4'-tetramethoxyflavone (Retusin)	5-羟基-3,7,3',4'-四甲氧基黄酮	Flavonoid	4	1.76E+07	1.85E+07	1.81E+07	1.76E+07	1.69E+07	1.73E+07	5.27E+07	4.16E+07	4.20E+07	2.88E+07	3.26E+07	2.50E+07	2.35E+07	2.50E+07	1.89E+07	2.49E+07	2.59E+07	2.38E+07	3.54E+07	3.19E+07	3.90E+07	4.41E+07	3.73E+07	4.78E+07	3.19E+07	2.66E+07	3.72E+07	2.30E+07	2.46E+07	2.85E+07	3.57E+07	3.76E+07	3.38E+07	4.10E+07	2.37E+07	3.23E+07
Lmxn007955	Sudachitin	5,7,4'-三羟基-6,8,3'-三甲氧基黄酮	Flavonoid	3	2.21E+06	2.62E+06	2.41E+06	2.34E+06	2.11E+06	2.26E+06	1.95E+06	1.88E+06	2.17E+06	5.65E+06	4.71E+06	6.60E+06	5.55E+06	8.19E+06	4.56E+06	4.65E+06	5.88E+06	3.41E+06	8.57E+06	9.03E+06	8.12E+06	9.24E+06	8.11E+06	7.09E+06	1.24E+07	1.13E+07	1.36E+07	1.01E+07	9.52E+06	1.16E+07	5.59E+06	5.81E+06	5.37E+06	1.08E+07	7.68E+06	9.22E+06
Lmxn007456	Acerosin	5,7,3'-三羟基-6,8,4'-三甲氧基黄酮	Flavonoid	3	3.92E+05	3.38E+05	3.65E+05	4.33E+05	3.56E+05	3.51E+05	4.25E+05	3.88E+05	5.57E+05	3.43E+05	3.27E+05	3.58E+05	4.68E+05	6.31E+05	4.02E+05	1.51E+06	1.45E+06	1.58E+06	1.27E+06	1.18E+06	1.37E+06	2.60E+06	2.54E+06	2.50E+06	1.98E+06	1.79E+06	2.17E+06	2.79E+06	2.71E+06	2.48E+06	1.37E+06	1.33E+06	1.41E+06	3.50E+06	1.99E+06	2.74E+06
Lmsp010098	5-Hydroxy-6,7,3',4'-tetramethoxyflavanone	5-羟基-6,7,3',4'-四甲氧基黄烷酮	Dihydroflavone	4	1.70E+06	1.70E+06	1.70E+06	1.53E+06	1.50E+06	1.40E+06	1.94E+06	1.88E+06	1.97E+06	2.61E+06	2.59E+06	2.63E+06	1.39E+06	2.36E+06	1.98E+06	2.12E+06	2.05E+06	2.18E+06	1.79E+06	1.74E+06	1.84E+06	2.67E+06	2.55E+06	2.24E+06	1.72E+06	1.82E+06	1.63E+06	1.61E+06	1.59E+06	1.72E+06	2.01E+06	1.92E+06	2.10E+06	1.55E+06	1.58E+06	1.56E+06
pmp001076	Isosinensetin	异甜橙黄酮	Flavonoid	5	1.71E+06	1.68E+06	1.70E+06	2.07E+06	1.80E+06	1.68E+06	2.87E+06	2.76E+06	2.51E+06	2.55E+06	2.70E+06	2.40E+06	2.08E+06	2.39E+06	2.32E+06	2.04E+06	2.32E+06	1.75E+06	2.42E+06	2.34E+06	2.49E+06	2.74E+06	2.64E+06	3.08E+06	2.16E+06	1.92E+06	2.40E+06	1.74E+06	1.82E+06	2.09E+06	2.89E+06	2.87E+06	2.92E+06	2.05E+06	1.67E+06	1.86E+06
mws0055	Tangeretin (4',5,6,7,8-Pentamethoxyflavone)	桔皮素 (4',5,6,7,8-五甲氧基黄酮)	Flavonols	5	1.29E+07	1.28E+07	1.29E+07	1.29E+07	1.21E+07	1.23E+07	1.18E+07	1.20E+07	1.18E+07	1.31E+07	1.29E+07	1.33E+07	1.27E+07	1.27E+07	1.24E+07	1.20E+07	1.23E+07	1.17E+07	1.28E+07	1.23E+07	1.33E+07	1.18E+07	1.12E+07	1.18E+07	1.20E+07	1.18E+07	1.22E+07	1.12E+07	1.12E+07	1.17E+07	1.20E+07	1.18E+07	1.22E+07	1.13E+07	1.09E+07	1.11E+07
mws1313	Sinensetin (5,6,7,3',4'-pentamethoxyflavone)	甜橙素 (5,6,7,3',4'-五甲氧基黄酮)	Flavonoid	5	8.57E+05	9.04E+05	8.81E+05	8.95E+05	7.76E+05	8.19E+05	1.01E+06	1.05E+06	9.84E+05	1.12E+06	1.10E+06	1.13E+06	1.08E+06	1.05E+06	1.07E+06	9.49E+05	1.01E+06	8.92E+05	1.03E+06	1.01E+06	1.05E+06	1.07E+06	1.08E+06	1.12E+06	9.51E+05	9.26E+05	9.75E+05	7.97E+05	7.78E+05	8.72E+05	1.09E+06	1.04E+06	1.13E+06	8.50E+05	8.41E+05	8.45E+05
Lmsp010424	3,4',5,6,7-Pentamethoxyflavone	3,4',5,6,7-五甲氧基黄酮	Flavonoid	5	4.27E+06	4.21E+06	4.24E+06	4.16E+06	3.97E+06	4.04E+06	3.86E+06	4.11E+06	3.87E+06	4.20E+06	4.13E+06	4.26E+06	4.22E+06	4.42E+06	4.09E+06	4.16E+06	4.16E+06	4.16E+06	4.55E+06	4.55E+06	4.54E+06	3.90E+06	4.05E+06	3.89E+06	4.06E+06	4.15E+06	3.97E+06	3.84E+06	3.90E+06	3.94E+06	3.97E+06	3.96E+06	3.98E+06	3.76E+06	3.75E+06	3.76E+06
