OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_276	0	0	0	18	0	0	22	23	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	7	0	21	1	0	0	0	0	0	0
OTU_28	33	16	24	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_280	22	42	1	0	0	0	0	1	82	0	0	0	54	0	0	0	1	0	0	1	0	0	811	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_281	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	7	0	0	152	0	7	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0
OTU_286	3	26	60	36	0	151	75	237	1	0	0	1	30	71	54	32	38	0	6	32	9	0	1260	233	13	82	2	19	168	147	2	0	1	90	20	3
OTU_287	0	6	21	0	0	0	32	16	0	0	0	0	45	69	122	0	0	0	0	1	0	1	557	0	227	1	1	15	20	373	0	0	0	20	9	0
OTU_289	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	24	1990	521	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_298	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	73	0	0	291	0	0	0	1	24	0	0	0	0	24	5
OTU_305	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	237	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_307	0	0	0	0	21	13	26	0	0	0	0	0	0	10	40	0	0	0	3	0	11	0	0	131	0	0	0	0	0	0	1	0	0	0	14	0
OTU_308	0	0	0	0	0	0	33	0	41	0	0	0	0	0	0	23	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0	0	0	0	0	1	212	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_310	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	42	21	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1413	448	384	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	160	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_318	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	109	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_325	124	286	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_328	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	52	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_338	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU_342	0	0	0	499	0	12	0	0	0	0	1	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_346	0	1	0	23	0	21	34	0	0	0	0	0	0	0	0	1	17	0	0	0	32	0	225	0	110	0	0	0	1	0	0	1	0	0	0	2
OTU_347	0	0	0	0	0	24	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	8	54	0	0	0	0	0	0	0
OTU_349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	50	249	0	0	0	0	0	0	1	0	1	24	0	0	0	0	0	0	0	0
OTU_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_357	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	133	48	0	0	1	0	0	0	0	1	1	11	0	0	0	0	0	0	0	0
OTU_364	0	0	0	8	49	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	21	0	238	0	1	0	0	0	4	178	0	0	0	0	0	0
OTU_365	21	1	7	0	0	0	0	0	0	0	0	0	0	0	0	359	194	211	0	1	605	0	0	1	0	0	0	40	1	46	0	0	0	1	0	0
OTU_366	0	0	42	99	0	34	0	0	0	0	0	0	1	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	9	29	0
OTU_367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	41	20	1154	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0
OTU_370	0	0	0	0	0	0	41	0	18	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_379	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	29	0	263	0	1	0	0	0	2	90	0	0	0	0	0	0	0
OTU_380	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	11	0	0	65	0	0	0	0	0	0	0	0
OTU_382	0	0	13	0	0	0	81	67	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
OTU_392	0	1	0	24	1	0	0	23	13	0	0	0	0	23	158	0	0	11	0	0	0	0	0	0	0	0	0	0	85	0	1	0	2	0	0	0
OTU_393	6	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	101	0	0	0	0	16	0
OTU_394	5	0	0	0	0	43	0	0	0	0	0	0	18	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_396	0	1	0	0	19	24	0	5	0	0	0	0	0	0	0	8	3	0	0	0	0	22	0	23	1	0	0	0	17	86	0	0	0	0	0	0
OTU_4	0	2	0	0	0	8	0	93	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_407	1898	2817	6044	4305	3607	4548	3408	3856	2731	20	12	28	4220	6925	7467	1285	574	364	866	1730	1512	7606	14138	8293	3509	2404	310	1973	4887	6755	86	61	42	3498	2625	45
OTU_411	0	0	0	16	17	0	0	0	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	2	0
OTU_416	1	340	0	10	436	7	6	156	1	0	0	1	0	0	12	0	1	0	0	1	0	0	0	0	0	0	0	67	30	0	1	0	1	541	0	0
OTU_426	0	0	1	0	0	0	12	36	0	0	0	0	0	34	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_429	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	16	0	0
OTU_432	0	0	6	0	0	0	2	2	0	0	0	0	0	0	4	0	4	0	0	0	1	9	2	51	0	0	1	3	101	81	0	0	4	0	0	0
OTU_434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	140	91	1	0	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0
