OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_359	0	0	0	42	31	43	56	45	40	1	1	0	0	0	2	0	0	0	0	0	0	0	0	2	6	1	0	8	1	10	0	1	0	1	0	0
OTU_36	0	0	0	4	3	17	7	3	1	11	0	4	0	3	11	1	0	0	0	0	1	18	0	0	239	1	43	76	41	20	3	1	0	7	5	6
OTU_361	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	5
OTU_363	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
OTU_365	0	0	0	3	3	2	1	8	0	0	1	1	0	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	2	0	7	3	1
OTU_367	0	0	1	6	9	13	78	33	4	1	0	2	3	4	5	1	0	0	0	1	0	4	22	0	58	5	22	56	41	45	2	3	1	11	2	7
OTU_368	0	0	0	5	3	1	9	5	2	2	2	2	4	5	3	0	0	0	0	0	0	3	0	0	2	18	2	0	4	0	1	0	0	10	13	7
OTU_369	0	0	0	1	0	3	2	0	12	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_37	0	0	0	117	109	72	208	107	35	0	0	1	1	0	0	2	0	1	2	0	0	3	10	2	5	1	0	9	6	0	0	0	1	0	0	1
OTU_370	0	0	0	1	0	1	2	0	21	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU_371	0	0	0	0	0	0	5	5	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_372	0	0	0	0	3	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
OTU_373	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_374	0	0	0	11	0	0	0	0	1	33	130	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	15	7	0	0	0
OTU_375	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	2	6	0	0	0	0	0	1	0	0
OTU_376	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	6
OTU_379	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	6	7
OTU_38	1	0	3	0	0	3	5	0	66	45	40	392	0	0	0	1	5	1	1	0	0	6	0	1	21	0	0	28	62	15	15	318	132	12	7	7
OTU_382	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	4	3	1
OTU_384	0	1	0	6	2	1	52	8	6	0	0	3	2	4	3	0	0	0	1	0	0	23	2	6	1	0	4	16	3	6	0	0	0	8	4	4
OTU_385	0	0	0	1	0	0	8	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	7	0	0	0	8	2	1	0	0	4	1	5
OTU_387	0	0	0	0	5	1	3	0	0	4	1	1	2	4	7	1	0	0	2	0	0	27	0	0	25	0	0	9	8	0	1	0	0	0	0	1
OTU_388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0	0	0
OTU_39	0	0	0	4	0	7	8	6	4	0	0	1	1	1	4	0	0	0	0	0	0	1	7	0	552	222	11	50	49	11	1	0	0	12	2	3
OTU_393	1	3	0	8	8	4	2	6	8	2	1	6	16	29	34	46	7	38	1	0	3	42	60	31	20	9	6	13	19	19	2	2	3	33	8	3
OTU_394	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	6	3	13	0	0	0	0	1	0	0
OTU_395	0	0	0	1	1	3	2	5	2	0	1	0	1	2	2	0	0	0	0	0	0	12	13	10	0	0	1	0	5	3	0	0	0	0	0	0
OTU_396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	1	0	0	0	0	3	10	10
OTU_397	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	53	77	89	1612	1480	2390	1664	1508	1269	258	201	567	491	1027	719	178	68	51	172	165	184	1798	2561	35	5233	5551	8023	5042	7400	7972	563	466	258	3309	2156	1690
OTU_40	0	2	0	36	11	49	12	13	24	2	3	7	11	25	23	4	2	2	1	1	1	8	16	0	8	232	49	35	144	146	0	5	3	13	8	6
OTU_402	0	0	0	2	10	2	2	6	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_406	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0
OTU_407	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	2	2	0	0	0	1	1	0
OTU_409	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	0	10	0	2	4	1	0	2	4	0	0	0	0	0	0	0
OTU_41	0	2	0	10	29	31	45	15	1	4	2	7	18	33	33	6	0	0	0	0	0	46	30	5	0	40	31	86	126	157	4	5	0	6	0	0
OTU_410	0	0	0	2	0	1	7	4	2	3	0	1	2	6	5	1	0	0	0	0	0	10	5	0	12	6	1	15	9	4	0	1	0	11	17	23
OTU_411	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	7	11	0	0	0	0	0	10	0	0	0	0	0	0	0
OTU_412	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	3	0	0	0	0	3	2	3
OTU_418	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	3	8	0	0	0	0	0	0
OTU_419	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	10	2	0	0	0	0	0	0	0
OTU_42	0	1	2	21	40	52	47	27	16	6	1	8	29	57	64	1	0	0	1	3	3	54	63	14	34	63	51	140	150	191	12	11	6	23	10	3
OTU_420	0	0	0	0	1	0	0	0	0	3	7	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	1
OTU_421	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_422	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	5	1	0	0	0	0	0	0
OTU_426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	1	10	0	0	0	0	5	0	3
OTU_427	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	5	0	2	0	0	0	0
OTU_43	1	1	0	27	68	87	52	16	22	2	1	11	16	37	24	1	0	0	0	1	1	27	15	3	1	1	21	11	31	45	6	5	3	55	68	69
OTU_430	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	2	9	0	0	0	0	0	0	0	0
OTU_432	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	1	0	0	0	0	2	1	0
OTU_433	0	0	0	1	0	0	3	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	26	0	0	0	0	0	0
OTU_434	0	0	0	0	0	3	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	6	0	0	0	7	4	5	7	0	0	0	0	0	0
OTU_435	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	5	4	6	0	0	0	3	0	0
OTU_436	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	2	3	0	0	0	0	0	0
OTU_438	0	0	0	8	4	9	15	11	3	0	0	0	4	1	3	1	0	0	0	0	0	6	0	1	0	0	28	56	10	9	1	0	0	6	5	10
OTU_44	1	5	4	48	32	73	101	44	24	5	3	20	19	28	23	3	6	4	4	2	5	53	53	29	48	268	111	285	132	259	7	11	7	17	12	6
OTU_440	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	3	0
OTU_443	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	2	4	4	3	11	2	0	0	4	3	11
OTU_447	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	9	0	17	0	0	0	2	0	0
OTU_449	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
OTU_45	0	0	0	9	2	1	14	4	0	6	0	2	3	0	6	1	0	0	1	4	7	6	0	20	113	4	81	264	111	26	3	1	1	8	8	6
OTU_450	0	0	0	0	0	0	1	0	0	0	0	0	6	1	1	0	0	0	0	0	0	6	0	0	1	0	2	6	1	9	0	0	0	0	0	0
OTU_451	0	0	0	9	2	1	2	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	13	10	17	23	17	0	0	0	0	0	0
OTU_452	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	1	0
OTU_455	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	28	0	0	0	1	0	0
OTU_456	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	2	6	1	0	0	1	15	10	0	0	0	0	6	0	2
OTU_46	0	0	0	41	45	41	225	94	113	7	5	14	4	16	26	6	1	0	199	1	0	15	12	11	13	9	19	135	266	129	1	1	9	24	31	28
OTU_460	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	18	0	2	0	0	0	9	3	3
OTU_462	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0	0	0
OTU_464	0	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	16	0	0	0	0	0	1	0	0
